name,osm_id,geojson
"Nisqually Icefall",356547215,'{"type":"Point","coordinates":[-121.7539848,46.8373303]}'
"Muir Snowfield",356549781,'{"type":"Point","coordinates":[-121.731206,46.8270529]}'
"The Turtle",356547214,'{"type":"Point","coordinates":[-121.7595403,46.828997]}'
"Van Trump Glaciers",180072760,'{"type":"LineString","coordinates":[[-121.7653148,46.8276591],[-121.761785,46.8273432],[-121.7613231,46.8261243],[-121.7624777,46.8247248],[-121.7622468,46.8233705],[-121.7625767,46.8218581],[-121.7634344,46.8203005],[-121.7636983,46.8192847],[-121.7611582,46.8196007],[-121.7594098,46.8196233],[-121.7573644,46.8191267],[-121.7560119,46.8189009],[-121.7559459,46.8171401],[-121.7564737,46.8156049],[-121.7571005,46.8142729],[-121.7574304,46.8128732],[-121.7580572,46.8114734],[-121.7643581,46.8074995],[-121.7619499,46.8115185],[-121.7633025,46.8132344],[-121.7638633,46.8148825],[-121.7629396,46.8160113],[-121.7656447,46.8165757],[-121.7661065,46.8185623],[-121.7678549,46.817569],[-121.7678549,46.8194427],[-121.7664364,46.8199168],[-121.7678549,46.8207294],[-121.7678879,46.8214969],[-121.764589,46.8221064],[-121.7637973,46.8235962],[-121.764721,46.8238445],[-121.76482,46.8255826],[-121.7653148,46.8276591]]}'
"Russell Glacier",179548391,'{"type":"LineString","coordinates":[[-121.8009451,46.8955495],[-121.7969232,46.8915796],[-121.7925289,46.8874058],[-121.7860492,46.8820608],[-121.7808356,46.8864895],[-121.779644,46.8918341],[-121.7802398,46.8953968],[-121.7811336,46.8987048],[-121.7833679,46.9023688],[-121.786794,46.9075083],[-121.7892518,46.908475],[-121.7954336,46.9065924],[-121.7994555,46.9035901],[-121.801541,46.8998244],[-121.8009451,46.8955495]]}'
"Tahoma Glacier",180171956,'{"type":"LineString","coordinates":[[-121.7650586,46.8524389],[-121.7672392,46.8533553],[-121.7700242,46.8539122],[-121.7756991,46.8531217],[-121.7808486,46.8520436],[-121.7896762,46.8516124],[-121.7932493,46.849025],[-121.7994497,46.8475156],[-121.8042839,46.8470125],[-121.8107996,46.8457906],[-121.8152134,46.8437779],[-121.8213087,46.8420527],[-121.8265633,46.8394649],[-121.8283499,46.836805],[-121.8298211,46.8330665],[-121.8331841,46.8309815],[-121.8382284,46.8303344],[-121.8385437,46.8280336],[-121.834235,46.8275303],[-121.8309771,46.827746],[-121.8232004,46.8265955],[-121.8176305,46.8247979],[-121.8124811,46.8276741],[-121.8098538,46.8292559],[-121.8049145,46.8301906],[-121.8002905,46.8319162],[-121.7950359,46.8361579],[-121.7978734,46.8386022],[-121.7927239,46.8419809],[-121.7876795,46.8434904],[-121.7833708,46.8448561],[-121.7786416,46.84615],[-121.7762245,46.84845],[-121.7734922,46.8496719],[-121.7710751,46.84845],[-121.7684478,46.8475156],[-121.7670816,46.8481625],[-121.7650849,46.849025],[-121.7646645,46.8502469],[-121.7647696,46.851828],[-121.7650586,46.8524389]]}'
"North Mowich Glacier",162623330,'{"type":"LineString","coordinates":[[-121.8103231,46.8899826],[-121.8082631,46.8899826],[-121.8053449,46.8899826],[-121.802255,46.8891614],[-121.7996801,46.8879882],[-121.7976201,46.8863457],[-121.7952169,46.8841165],[-121.7929853,46.8832953],[-121.791612,46.8829434],[-121.7898954,46.8825914],[-121.7881788,46.8816527],[-121.7868055,46.8805967],[-121.7854322,46.879658],[-121.7838872,46.878954],[-121.7830289,46.87825],[-121.7823423,46.8773112],[-121.7825139,46.8766072],[-121.7842306,46.8763725],[-121.7869771,46.8763725],[-121.7893804,46.8763725],[-121.7946565,46.87927],[-121.7970497,46.8769752],[-121.7958581,46.8745823],[-121.7949643,46.8726475],[-121.7971242,46.8707636],[-121.794294,46.8693379],[-121.7941078,46.8681922],[-121.795789,46.8673118],[-121.7987255,46.867352],[-121.8039019,46.8697453],[-121.8045349,46.8720365],[-121.8075514,46.874455],[-121.808808,46.8747471],[-121.8116105,46.8758297],[-121.8144035,46.8746332],[-121.8192074,46.8739459],[-121.820548,46.8744041],[-121.8246072,46.8765425],[-121.8298471,46.8794598],[-121.8323531,46.8807935],[-121.8316827,46.883237],[-121.8412387,46.8855467],[-121.8330958,46.8878044],[-121.8258947,46.8872358],[-121.8262381,46.888057],[-121.824571,46.8883401],[-121.8192495,46.8883401],[-121.8183912,46.8883401],[-121.8156446,46.8883401],[-121.8130697,46.8886921],[-121.811868,46.8895133],[-121.8103231,46.8899826]]}'
"Emmons Glacier",179385559,'{"type":"LineString","coordinates":[[-121.7002713,46.8777763],[-121.7047148,46.8768078],[-121.7087074,46.8744307],[-121.7134729,46.8744307],[-121.7189467,46.8738584],[-121.7228749,46.8727138],[-121.7269964,46.8717893],[-121.7316974,46.8702484],[-121.7355613,46.8641285],[-121.7397471,46.8622792],[-121.7432246,46.860782],[-121.7463801,46.8587565],[-121.7452209,46.8550574],[-121.7418606,46.8528345],[-121.7300553,46.8489137],[-121.7238549,46.8491554],[-121.7179807,46.8506314],[-121.7110257,46.8525692],[-121.7064535,46.8573473],[-121.7014555,46.8627798],[-121.6862577,46.8751733],[-121.7002713,46.8777763]]}'
"Success Glacier",162623333,'{"type":"LineString","coordinates":[[-121.7828997,46.8209938],[-121.7818697,46.8231081],[-121.7803247,46.8242827],[-121.7777498,46.8260446],[-121.7765482,46.8267493],[-121.7775782,46.828511],[-121.7789514,46.8273365],[-121.7786081,46.8295681],[-121.7770632,46.830625],[-121.7758615,46.8310948],[-121.7750032,46.8330913],[-121.7777498,46.8339133],[-121.7798097,46.8330913],[-121.7818697,46.8320343],[-121.7835863,46.8305075],[-121.7847879,46.8280413],[-121.7851313,46.826162],[-121.7849596,46.8240478],[-121.7844446,46.8213462],[-121.7842729,46.8191143],[-121.7828997,46.8209938]]}'
"South Tahoma Glacier",162623332,'{"type":"LineString","coordinates":[[-121.7934787,46.8368072],[-121.7955386,46.8344585],[-121.7996585,46.8315226],[-121.803435,46.8298784],[-121.8077266,46.8288213],[-121.8104731,46.8282341],[-121.8118464,46.8268247],[-121.8157946,46.8247105],[-121.8173396,46.8230661],[-121.8175113,46.8222439],[-121.8137347,46.8208343],[-121.8113315,46.8194247],[-121.8080699,46.820247],[-121.8030917,46.820247],[-121.7998301,46.8220089],[-121.7955386,46.8240058],[-121.793822,46.8264723],[-121.7910754,46.8291737],[-121.7883288,46.8312877],[-121.7888438,46.8319923],[-121.7867839,46.8329318],[-121.7850673,46.8349283],[-121.783179,46.8361026],[-121.7812907,46.8371595],[-121.7814624,46.8384512],[-121.7850673,46.838686],[-121.7900454,46.8379815],[-121.7934787,46.8368072]]}'
