name,osm_id,amenity,geojson
"The Well Community Church",279966414,"place_of_worship",'{"type":"Point","coordinates":[-122.6644221,45.5355807]}'
"Ben & Jerry's",323588268,"fast_food",'{"type":"Point","coordinates":[-122.6813914,45.5252338]}'
"Baja Fresh",323588269,"fast_food",'{"type":"Point","coordinates":[-122.68243,45.5230449]}'
"Outdoor food court",323588279,"fast_food",'{"type":"Point","coordinates":[-122.6812633,45.5206615]}'
"Henry's",323588284,"restaurant",'{"type":"Point","coordinates":[-122.6829364,45.523075]}'
"Powell's Parking",323588295,"parking",'{"type":"Point","coordinates":[-122.6819836,45.5231892]}'
"Pizza Schmizza",323588302,"fast_food",'{"type":"Point","coordinates":[-122.6820781,45.5263763]}'
"Public Restroom",323588303,"toilets",'{"type":"Point","coordinates":[-122.6787628,45.5228714]}'
"Starbucks",323588344,"cafe",'{"type":"Point","coordinates":[-122.6831076,45.5263853]}'
"Sushi Land",323588346,"restaurant",'{"type":"Point","coordinates":[-122.6809708,45.5242837]}'
"Shell",324193667,"fuel",'{"type":"Point","coordinates":[-122.6601222,45.5352911]}'
"Starbucks",324193668,"cafe",'{"type":"Point","coordinates":[-122.6819431,45.5299043]}'
"Bank of America",324193674,"bank",'{"type":"Point","coordinates":[-122.684298,45.5298849]}'
"Quiznos",324193683,"fast_food",'{"type":"Point","coordinates":[-122.6855575,45.5299176]}'
"Subway",324193697,"fast_food",'{"type":"Point","coordinates":[-122.6805393,45.5302369]}'
"Starbucks",324193701,"cafe",'{"type":"Point","coordinates":[-122.6610914,45.5348691]}'
"Shell",324193705,"fuel",'{"type":"Point","coordinates":[-122.6661573,45.5352771]}'
"US Bank",324193715,"bank",'{"type":"Point","coordinates":[-122.68192,45.5297364]}'
"El Gaucho",354922682,"restaurant",'{"type":"Point","coordinates":[-122.6786187,45.5214979]}'
"",354923287,"parking",'{"type":"Point","coordinates":[-122.6784981,45.5207535]}'
"76",355041404,"fuel",'{"type":"Point","coordinates":[-122.6748776,45.5228257]}'
